Component,Quantity,Price (INR),Direct Link
ESP32 (38 Pin) WiFi + Bluetooth NodeMCU-32 Development Board,1,414,https://robocraze.com/products/esp32-development-board
"SPI TFT 3.5"" LCD Touch Module ILI9488 driver 480X320",1,880,https://robokits.co.in/displays/lcd-display/spi-tft-3.5-lcd-touch-module-ili9488-driver-480x320?
Neopixel WS2812B Addressable RGB LED Strip ,1,189,https://hubtronics.in/neopixel-ws2811-led-strip-india
PAM8403 Mini 5V Digital Audio Amplifier Board With Volume Control,1,99,https://probots.co.in/pam8403-mini-5v-digital-amplifier-board-with-switch-potentiometer.html
2 Inch 4 Ohm 3W Round Full Range Home Audio Speaker Stereo Subwoofer,1,99,https://amzn.in/d/064aVfCT
PJ-392A 3.5mm 4-Pin TRRS Audio Socket,1,49,https://probots.co.in/pj-392a-3-5mm-4-pin-trrs-audio-socket-panel-mount.html?utm_source=chatgpt.com
TP4056 C-Type 18650 Lithium-ion Battery Charging Module with Inbuilt BMS and Indicator ,1,93,https://amzn.in/d/0fUUxIvV
"MT3608 DC-DC Boost Module (2V-24V)
",1,39,https://robocraze.com/products/mt3608-dc-dc-boost-module-2v-24v
LM2596 DC-DC Step-down Buck Module with Display,1,119,https://robocraze.com/products/lm2596-dc-dc-step-down-buck-module-with-display
18650 Cell,2,110,https://robocraze.com/products/3-7v-1200mah-18650-battery
18650 2 Cell Holder,1,21,https://robocraze.com/products/18650-2-cell-holder
"Rotary Encoder Module
",2,92,https://robocraze.com/products/rotary-encoder-module
Acrylic Cube,1,1899,https://amzn.in/d/0eUtY7RX
Acrylic Sheet,2,160,https://amzn.in/d/076GT5CY
Perfboard,1,50,https://robodo.in/products/5-pieces-general-purpose-perforated-pcb-boards-9-x-15-cm-perfboard?utm_source=chatgpt.com
"Mini Rocker Switch
",5,40,https://robocraze.com/products/rocker-switch-mini-on-off-spst-2-pin-kcd11
HeatShrink,1,192,https://amzn.in/d/00heRmCE
1000uF 25V Electrolytic Capacitor DIP,2,22,https://robu.in/product/1000uf-25v-electrolytic-capacitor-dip-pack-of-5/
22AWG Silicone Braided Wire - Red,2,34,https://robu.in/product/22awg-silicone-braided-wire-red/
22AWG Silicone Braided Wire - Black,2,34,https://robu.in/product/22awg-silicone-braided-wire-black/
330Ohm Resistor,30,39,https://robocraze.com/products/330-ohm-resistor-pack-of-10
REES52 320PCS M3 Male Female Nylon Hex Spacer Standoff Screw Nut,1,836,https://amzn.in/d/005FJ3UE
,TOTAL:,5510,
